FunctionName,Frequency (Total: 24507),Percentage
calc_owp,3,0.01
resuelve,3,0.01
getFairAndSquare,3,0.01
dsort,3,0.01
get_label,3,0.01
divideSpace,3,0.01
create_field,3,0.01
calcrow,3,0.01
calccol,3,0.01
next_tidy,3,0.01
m,3,0.01
issolved,3,0.01
getRes,3,0.01
asort,3,0.01
addSpace,3,0.01
getOddR,3,0.01
dcompare,3,0.01
getEvenR,3,0.01
getLs,3,0.01
calcsit,3,0.01
getRs,3,0.01
store,3,0.01
ck,3,0.01
cont,3,0.01
set_label,3,0.01
Cmpdep,3,0.01
getLengthOfBinaryRepresentatio...,3,0.01
Get,3,0.01
po,3,0.01
my_index,3,0.01
cal_WP,3,0.01
getMaxPot2,3,0.01
generateNext,3,0.01
integral,3,0.01
rlog2,3,0.01
bigSquare,3,0.01
div,3,0.01
Comp,3,0.01
string_matcher,3,0.01
init_pot2,3,0.01
Mult,3,0.01
Sqrtsf,3,0.01
getdigit,3,0.01
PlusOne,3,0.01
greaterThan,3,0.01
compr,3,0.01
lastTidy,3,0.01
read_line2,3,0.01
getPrime,3,0.01
add_string,3,0.01
price,3,0.01
process2,3,0.01
open_chest,3,0.01
isvalid,3,0.01
times,3,0.01
log2floor,3,0.01
log2round,3,0.01
e2,3,0.01
arraySort,3,0.01
pow2cus,3,0.01
checkTiny,3,0.01
log2cus,3,0.01
getTidy,3,0.01
is_poly,3,0.01
get_string,3,0.01
findlargest,3,0.01
printGrid,3,0.01
Qsort,3,0.01
numcmp,3,0.01
do_pan,3,0.01
check2,3,0.01
do_bath,3,0.01
showArray,3,0.01
cy,3,0.01
cx,3,0.01
x_won,3,0.01
quick_sort,3,0.01
maxLR,3,0.01
minLR,3,0.01
invalidate,3,0.01
getLastTidyNum,3,0.01
next_int,3,0.01
log2dlld,3,0.01
Gcd,3,0.01
init_list,3,0.01
set_oddeven,3,0.01
palis,3,0.01
maxp,3,0.01
tamanho,3,0.01
matcher,3,0.01
print_output,3,0.01
closest_square,3,0.01
min_time,3,0.01
o_won,3,0.01
lett,3,0.01
exp,3,0.01
myMax,3,0.01
readinline,3,0.01
getlist,3,0.01
consume,3,0.01
pick,3,0.01
solve4,3,0.01
count_digits,3,0.01
max_heapify,3,0.01
recursiveFindTidyNumber,3,0.01
noDecimal,3,0.01
isPalindrom,3,0.01
add_time,3,0.01
printOutput,3,0.01
makeOddPalindrome,3,0.01
minutos,3,0.01
makeEvenPalindrome,3,0.01
isLessThan,3,0.01
getFSQ,3,0.01
decrease,3,0.01
sz2ai,3,0.01
str_sq,3,0.01
pregetFSQ,3,0.01
isok,3,0.01
getLastTidyNumber,3,0.01
getLeftCutNumber,3,0.01
charValAddN,3,0.01
getBaseNubmer,3,0.01
ctoi,3,0.01
test2,3,0.01
cmpint,3,0.01
findNumberOfDigits,3,0.01
charValMul,3,0.01
increment,3,0.01
exchange,3,0.01
charValAdd,3,0.01
find_lowest,3,0.01
metodo,3,0.01
swapChar,3,0.01
compareCharVal,3,0.01
heapremove,3,0.01
heapinsert,3,0.01
checkD,3,0.01
gi,3,0.01
getTheIthNumber,3,0.01
doWeSwitch,3,0.01
read_char_from_file,3,0.01
substract,3,0.01
verification,3,0.01
subtract1,3,0.01
subtract,3,0.01
divideBy2,3,0.01
pw,3,0.01
multiplyBy2,3,0.01
findfirst,3,0.01
printNumbers,3,0.01
match_skip,3,0.01
testa,3,0.01
remove_lowest,3,0.01
convolve,3,0.01
isRow,3,0.01
sort_num,3,0.01
affiche,2,0.01
cmp_e,2,0.01
preencheTab,2,0.01
legal,2,0.01
checaLinha,2,0.01
checaColuna,2,0.01
get_col_max,2,0.01
is_all_col_o,2,0.01
get_row_max,2,0.01
hor,2,0.01
is_all_diag_second_o,2,0.01
isFairSquare,2,0.01
cmp_o,2,0.01
get_best,2,0.01
won_x,2,0.01
Power,2,0.01
printTicTac,2,0.01
won_o,2,0.01
has_x_won,2,0.01
compute_c,2,0.01
make_money,2,0.01
is_all_diag_second_x,2,0.01
get_winner,2,0.01
is_all_diag_first_x,2,0.01
getweight,2,0.01
winORloss,2,0.01
readTicTac,2,0.01
is_all_row_o,2,0.01
limpaTab,2,0.01
imprimeTab,2,0.01
is_all_diag_first_o,2,0.01
diag,2,0.01
lolsort,2,0.01
is_all_row_X,2,0.01
lpow,2,0.01
calccost,2,0.01
next_pal,2,0.01
getWorst,2,0.01
COST,2,0.01
itostr,2,0.01
ison,2,0.01
solve0,2,0.01
do_try_1,2,0.01
checaDiagonal2,2,0.01
MaxHeight,2,0.01
compt,2,0.01
FairAndSquare,2,0.01
allSameDiagonal,2,0.01
inCol,2,0.01
max_line,2,0.01
snappers,2,0.01
checkXl,2,0.01
ToggleSnapper,2,0.01
inRow,2,0.01
pwer,2,0.01
checkXr,2,0.01
max_collumn,2,0.01
isO,2,0.01
Owins,2,0.01
isT,2,0.01
pchk,2,0.01
prox,2,0.01
SquareOrNot,2,0.01
Xwins,2,0.01
scanLine,2,0.01
CheckWinner,2,0.01
allSameColumn,2,0.01
Tondre,2,0.01
has_o_won,2,0.01
is_all_col_X,2,0.01
get_worst,2,0.01
CheckTie,2,0.01
do_try,2,0.01
tab_add,2,0.01
calccost2,2,0.01
strcrep,2,0.01
buscar,2,0.01
temizle,2,0.01
cprice,2,0.01
checkBits,2,0.01
checkSnapper,2,0.01
compf,2,0.01
allSameRow,2,0.01
is_all_filled,2,0.01
crow,2,0.01
ccol,2,0.01
unique,2,0.01
checkCollumn,2,0.01
cdia,2,0.01
Yes,2,0.01
overlap,2,0.01
Complete,2,0.01
gameOver,2,0.01
get_min,2,0.01
checaDiagonal1,2,0.01
do_lawn_col,2,0.01
isColEqual,2,0.01
suqrt,2,0.01
isEqual,2,0.01
lg2,2,0.01
gao,2,0.01
p_esq,2,0.01
p_baixo,2,0.01
p_cima,2,0.01
IsLoop,2,0.01
find_lowest_in_row,2,0.01
get_next_palyn,2,0.01
does_win,2,0.01
evaluar_juego,2,0.01
recherche_max1,2,0.01
0;,2,0.01
do_lawn_row,2,0.01
find_max_col,2,0.01
DataBlock,2,0.01
calc_max_col,2,0.01
p_dir,2,0.01
calc_max_row,2,0.01
DoRelease,2,0.01
DecReference,2,0.01
SetOwned,2,0.01
isfun,2,0.01
find_max_row,2,0.01
myPower,2,0.01
sqrt1,2,0.01
find_cyclic_index_order,2,0.01
calc_rides_by_index,2,0.01
ReadAndFindSolutionPerCase,2,0.01
displayResult,2,0.01
recherche_max2,2,0.01
coloneExacte,2,0.01
ligneExacte,2,0.01
D,2,0.01
eval_testcase,2,0.01
generate_sequence,2,0.01
test_K,2,0.01
power1,2,0.01
walk_down,2,0.01
Greedy,2,0.01
computeSnaps,2,0.01
read_testcase,2,0.01
who_has_won,2,0.01
game_completed,2,0.01
test_palindrom,2,0.01
esOn2,2,0.01
GameState,2,0.01
get_light,2,0.01
update_size,2,0.01
print_testcase,2,0.01
chercherLeGagnant,2,0.01
large_mod,2,0.01
powN,2,0.01
goody,2,0.01
afficherLeGagnant,2,0.01
lucky,2,0.01
lawnState,2,0.01
segcmp,2,0.01
analyze_tile,2,0.01
line_search,2,0.01
bs_ge,2,0.01
paintFromR,2,0.01
enumr,2,0.01
bs_le,2,0.01
run_round,2,0.01
genList,2,0.01
find_answer,2,0.01
cnt_poly,2,0.01
p_ce,2,0.01
get_bulb_state,2,0.01
check_the_diag,2,0.01
check_the_board,2,0.01
print_lawn,2,0.01
OUTPUT,2,0.01
parse_lawn,2,0.01
moves_left,2,0.01
getPalindrome,2,0.01
check_the_col,2,0.01
get_snapper_state,2,0.01
initmark,2,0.01
fs,2,0.01
mcdArray,2,0.01
earn,2,0.01
ipow,2,0.01
veryfi,2,0.01
check_the_row,2,0.01
dotPresent,2,0.01
get_ans,2,0.01
checaTab,2,0.01
resetaQuintal,2,0.01
bill,2,0.01
resetaMolde,2,0.01
compar_j,2,0.01
leMolde,2,0.01
energy,2,0.01
plan,2,0.01
imprimeQuintal,2,0.01
imprimeMolde,2,0.01
cortaColuna,2,0.01
cortaLinha,2,0.01
ajustaMolde,2,0.01
comparaMolde,2,0.01
tryans,2,0.01
maxf,2,0.01
BigNumber,2,0.01
checkstatus,2,0.01
findNumber,2,0.01
winnable,2,0.01
has_win,2,0.01
sq_possible,2,0.01
DoMemMul,2,0.01
ZeroInit,2,0.01
canWork,2,0.01
palidrom,2,0.01
checkplayer,2,0.01
notdone,2,0.01
count_empty,2,0.01
Reserve,2,0.01
Neg,2,0.01
make_poly,2,0.01
DoSub,2,0.01
sod,2,0.01
sort_bigint,2,0.01
p_be,2,0.01
p_bd,2,0.01
checkWinner,2,0.01
palindromCheck,2,0.01
bigint_gcd,2,0.01
bigint_mod,2,0.01
judge_case,2,0.01
p_cd,2,0.01
middle_pos_ok,2,0.01
test_point,2,0.01
bigint_absdiff,2,0.01
judge_lawn,2,0.01
bigint_compare,2,0.01
aaa,2,0.01
ispalyndrome,2,0.01
convert_ascii,2,0.01
findPos,2,0.01
mian,2,0.01
findNumbers,2,0.01
checkdig,2,0.01
outputCaseULongLongResult,2,0.01
checkcom,2,0.01
rowpeak,2,0.01
is_intersected_ls,2,0.01
outputCaseStrResult,2,0.01
solveBoard,2,0.01
reverseNum,2,0.01
pmaxsq,2,0.01
c_dia,2,0.01
fillList,2,0.01
count_intersections,2,0.01
c_col,2,0.01
cutLawn,2,0.01
wires_cross,2,0.01
in_range,2,0.01
has_intersection,2,0.01
outputCaseLongLongResult,2,0.01
findwin,2,0.01
is_not_over,2,0.01
isFullBoard,2,0.01
checkWon,2,0.01
find_next_min,2,0.01
search_row,2,0.01
Intercept,2,0.01
line_t_cmp,2,0.01
search_col,2,0.01
insert_sort,2,0.01
readNumStrFromFileToCharArray,2,0.01
outputCaseIntResult,2,0.01
intersection,2,0.01
check_straight,2,0.01
is_winning,2,0.01
outputCaseUIntResult,2,0.01
colpeak,2,0.01
intersection_count,2,0.01
chkcrs1,2,0.01
torow,2,0.01
verify_diagS,2,0.01
verify_O_win,2,0.01
verifyDraw,2,0.01
on;,2,0.01
printWires,2,0.01
char,2,0.01
check_hor,2,0.01
slice,2,0.01
check_vert,2,0.01
ar,2,0.01
numberMotes,2,0.01
dinamica,2,0.01
palindromeCheck,2,0.01
take_action,2,0.01
max_array,2,0.01
pcalc,2,0.01
verify_X_win,2,0.01
verify_diagP,2,0.01
chkcrs2,2,0.01
check_diag1,2,0.01
toint,2,0.01
chkdraw,2,0.01
c_row,2,0.01
cmpFuncAccending,2,0.01
processAllTestCase,2,0.01
insect,2,0.01
is_board_full,2,0.01
find_oper,2,0.01
chk_pal,2,0.01
compare_a,2,0.01
decode,2,0.01
verify_linhas,2,0.01
make_ok,2,0.01
verify_colunas,2,0.01
check_diag2,2,0.01
isPossibleLawn,2,0.01
readNumStrFromFileToDouble,2,0.01
osmos,2,0.01
numbersInRange,2,0.01
nvalue,2,0.01
bsearch,2,0.01
processCol,2,0.01
process_grid,2,0.01
checkCons,2,0.01
isCons,2,0.01
compare_record,2,0.01
check_if_winner,2,0.01
readNumStrFromFileToULongLong,2,0.01
isCon,2,0.01
output_data,2,0.01
whether_win,2,0.01
game_test,2,0.01
if_has_point,2,0.01
ROWX,2,0.01
test_spot,2,0.01
process_pattern,2,0.01
moreDown,2,0.01
checko,2,0.01
moreUp,2,0.01
checkForWinOnColumn,2,0.01
checkForWinOnDiagonal,2,0.01
hasGameCompleted,2,0.01
hasGameDrawn,2,0.01
same,2,0.01
vowel,2,0.01
next_step,2,0.01
iscon,2,0.01
isConsonant,2,0.01
substring,2,0.01
isconst,2,0.01
ln,2,0.01
winning,2,0.01
moreLeft,2,0.01
moreRight,2,0.01
caseStr,2,0.01
printCol,2,0.01
ROWY,2,0.01
containsSub,2,0.01
find_point,2,0.01
l_test,2,0.01
check_cols,2,0.01
check_dias,2,0.01
different,2,0.01
readNumStrFromFileToInt,2,0.01
readNumStrFromFileToUInt,2,0.01
miss,2,0.01
cortar,2,0.01
process_one,2,0.01
empata,2,0.01
selectionsort,2,0.01
nextPalindrome,2,0.01
readNumStrFromFileToLongLong,2,0.01
getwinner,2,0.01
solveA,2,0.01
solveTTTTestCase,2,0.01
COLUMNX,2,0.01
prev,2,0.01
COLUMNY,2,0.01
chkvalues,2,0.01
DIAGONALX,2,0.01
DIAGONALY,2,0.01
powm,2,0.01
dump_board,2,0.01
SEARCH,2,0.01
consonants,2,0.01
get_mx,2,0.01
calculate_guys,2,0.01
count_range,2,0.01
isLineXWin,2,0.01
isLineOWin,2,0.01
findCost,2,0.01
updateTree,2,0.01
isPalindromes,2,0.01
func2,2,0.01
set_slot_state,2,0.01
fja,2,0.01
s_u16GetSteps,2,0.01
check_incomplete,2,0.01
diagcheck1,2,0.01
lol,2,0.01
lluint_cmp,2,0.01
uipow,2,0.01
module,2,0.01
powerOf2,2,0.01
cuantas,2,0.01
killlawn,2,0.01
checkdiags,2,0.01
checkcols,2,0.01
alloc_vertex,2,0.01
print_bigint,2,0.01
read_bigint,2,0.01
checkrows,2,0.01
isPallindrome,2,0.01
intCmp,2,0.01
diagcheck2,2,0.01
rmG,2,0.01
isDot,2,0.01
printSol,2,0.01
isNotCompleted,2,0.01
wonLine,2,0.01
wonColumn,2,0.01
wonDiag1,2,0.01
wonDiag2,2,0.01
checkFairness,2,0.01
intCompare,2,0.01
all_same,2,0.01
readGameBoardFromFile,2,0.01
printGameBoard,2,0.01
canMow,2,0.01
findResult,2,0.01
eatmotes,2,0.01
readboard,2,0.01
calc3,2,0.01
CheckForCol,2,0.01
adds_to_reach,2,0.01
FindPrev,2,0.01
FindNext,2,0.01
Valid,2,0.01
mpz_print,2,0.01
disp_snappers,2,0.01
load_input,2,0.01
nbp,2,0.01
checkdraw,2,0.01
find_if_owon,2,0.01
gotoendofline,2,0.01
checkpossible,2,0.01
putere,2,0.01
find_if_xwon,2,0.01
get_slot_state,2,0.01
ret_T,2,0.01
minim_ch,2,0.01
mycheck,2,0.01
isCompleted,2,0.01
dbgout,2,0.01
CheckForRow,2,0.01
setbit,2,0.01
gcd3,2,0.01
lcomp,2,0.01
isDiag2,2,0.01
checkForWinOnLine,2,0.01
isDiag1,2,0.01
isCol,2,0.01
check_dir,2,0.01
myPow,2,0.01
mpz_cmp_ptr,2,0.01
delcnt,2,0.01
sove,2,0.01
partition_n_lomuto,2,0.01
compareAscending,2,0.01
next_char,2,0.01
check_spot,2,0.01
square_root,2,0.01
calculate_euros,2,0.01
IntSubtration,2,0.01
multiplo,2,0.01
key_search,2,0.01
solve_recur,2,0.01
key_search_recurse,2,0.01
status_game,2,0.01
minandmindiff,2,0.01
fill_group,2,0.01
findRightIndex,2,0.01
get_win_char,2,0.01
solve_it,2,0.01
isLightOn,2,0.01
expt,2,0.01
calc_euros3,2,0.01
calc_euros2,2,0.01
subsumes,2,0.01
predict_possibility,2,0.01
»,2,0.01
digsearch,2,0.01
printing,2,0.01
showResult,2,0.01
issq,2,0.01
isSqr,2,0.01
getIn,2,0.01
maxim,2,0.01
isLine,2,0.01
C1,2,0.01
zhuanhua,2,0.01
gethighest,2,0.01
sovle_one,2,0.01
Euclid,2,0.01
brute_force,2,0.01
checkcompleted,2,0.01
bfsearch,2,0.01
dsearch,2,0.01
calc_euros,2,0.01
check_palind,2,0.01
close_chest,2,0.01
problem_b,2,0.01
lt,2,0.01
ifPossible,2,0.01
can_open_chest,2,0.01
problem_a,2,0.01
come,2,0.01
terminou,2,0.01
come2,2,0.01
get_head,2,0.01
check_cells,2,0.01
findwinner,2,0.01
to_result,2,0.01
rank_board,2,0.01
hay,2,0.01
hay2,2,0.01
findLeftIndex,2,0.01
calSmall,2,0.01
problem_c,2,0.01
insertionsNeeded,2,0.01
calIfWin,2,0.01
dump_input,2,0.01
ty,2,0.01
who_win,2,0.01
fair_squares,2,0.01
lawnmower_possible,2,0.01
Dec,2,0.01
testHoriz,2,0.01
mycmp,2,0.01
retu,2,0.01
Inc,2,0.01
MinOps,2,0.01
AddCost,2,0.01
state_of_light,2,0.01
ifRetMatch,2,0.01
snapper,2,0.01
check_inter,2,0.01
printWon,2,0.01
is_win,2,0.01
check_res,2,0.01
isplus,2,0.01
returnposition,2,0.01
OnlyNegative,2,0.01
OnlyPositive,2,0.01
ConsecutivePos,2,0.01
ConsecutiveNeg,2,0.01
OnlyAlternate,2,0.01
tidy_num,2,0.01
find_max_tidy,2,0.01
largest_violating_digit,2,0.01
pow10,2,0.01
get_tidy,2,0.01
numPlaces,2,0.01
sat,2,0.01
otoc,2,0.01
convertToint,2,0.01
all_happy,2,0.01
lowestpossible,2,0.01
go_to,2,0.01
popMaxPlace,2,0.01
tocc,2,0.01
lowerNumber,2,0.01
print_tidy,2,0.01
print_num,2,0.01
sett,2,0.01
troca,2,0.01
parosbal,2,0.01
getMinChances,2,0.01
getLength,2,0.01
reverse_pancake,2,0.01
find_tidy,2,0.01
paratlan,2,0.01
parosjobb,2,0.01
consume_plus,2,0.01
consume_minus,2,0.01
totarr,2,0.01
calculPuissanceMax,2,0.01
getTidyNumber,2,0.01
verifTidyNumber,2,0.01
verifTidyNumberInferieurA100,2,0.01
lastTidyNumber,2,0.01
tronquerNombre,2,0.01
puissance10,2,0.01
afficheTidyNumber,2,0.01
detruireRangeePancakes,2,0.01
detruireTidyNumber,2,0.01
recupTidyNumber,2,0.01
fz,2,0.01
downheap,2,0.01
upheap,2,0.01
right_child,2,0.01
recupRangeePancakes,2,0.01
afficheRangeePancakes,2,0.01
isPlus,2,0.01
findMagicNumber,2,0.01
isFinished,2,0.01
arrayToNumber,2,0.01
numberToArray,2,0.01
print_bits,2,0.01
u64_implode,2,0.01
u64_explode,2,0.01
findarrayLength,2,0.01
verifPancakes,2,0.01
checkIfDone,2,0.01
subtractedDigits,2,0.01
swapSign,2,0.01
checknumber,2,0.01
calculNombreFlip,2,0.01
changePancakes,2,0.01
popMinPlace,2,0.01
pushItem,2,0.01
releaseStack,2,0.01
cook,2,0.01
maxN,2,0.01
stack,2,0.01
troc,2,0.01
Pancake,2,0.01
flipsCount,2,0.01
matching,2,0.01
flipPancakes,2,0.01
char_fprint,2,0.01
get_ten,2,0.01
patternmatches,2,0.01
getFlipCount,2,0.01
isAllFlipped,2,0.01
flipper_used,2,0.01
largest_tidy_no,2,0.01
string_fprint,2,0.01
int_fprint,2,0.01
NotTidy,2,0.01
double_fprint,2,0.01
long_long_int_max,2,0.01
long_int_max,2,0.01
int_max,2,0.01
short_int_max,2,0.01
char_max,2,0.01
int_fast16_t_fprint,2,0.01
unsigned_long_long_int_fprint,2,0.01
short_int_fprint,2,0.01
unsigned_long_int_fprint,2,0.01
unsigned_short_int_fprint,2,0.01
unsigned_int_fprint,2,0.01
unsigned_char_fprint,2,0.01
long_long_int_fprint,2,0.01
long_int_fprint,2,0.01
do_call,2,0.01
myMaxCount,2,0.01
anti,2,0.01
sz_flip,2,0.01
s]-=,2,0.01
",",2,0.01
fp);,2,0.01
llitoa,2,0.01
flip_pan,2,0.01
keta,2,0.01
readFullLine,2,0.01
do_tidy,2,0.01
ct,2,0.01
FlipRange,2,0.01
AllTheSame,2,0.01
SetNine,2,0.01
ArrayToNumber,2,0.01
NumberToArray,2,0.01
isPair,2,0.01
flipall,2,0.01
remMin,2,0.01
canContinue,2,0.01
first_issue,2,0.01
set_nines,2,0.01
dec_digit,2,0.01
extra_zeros,2,0.01
getIntFromChar,2,0.01
getCharFromInt,2,0.01
FlipChar,2,0.01
xchg,2,0.01
flipend,2,0.01
check_flipable,2,0.01
not_tidy,2,0.01
king,2,0.01
jasjyot,2,0.01
singh,2,0.01
left_child,2,0.01
initialise_data_structures,2,0.01
leftFlip,2,0.01
correct,2,0.01
caso,2,0.01
get_min_flip_count,2,0.01
calc_min,2,0.01
print_status,2,0.01
lstPwr,2,0.01
isPancake,2,0.01
xoring,2,0.01
changetoInt,2,0.01
geti,2,0.01
config,2,0.01
RadSort,2,0.01
liberar_pilha,2,0.01
flip_cakes,2,0.01
getAnswer,2,0.01
getPanCake,2,0.01
kchk,2,0.01
reduceNextNonZero,2,0.01
scenarioAll,2,0.01
highest,2,0.01
batch_update,2,0.01
find_maxx,2,0.01
flip_n,2,0.01
perform,2,0.01
strlen,2,0.01
scenarioSingle,2,0.01
kflip,2,0.01
fillDiags,2,0.01
countEmptyDiags,2,0.01
a;,2,0.01
Pancakes,2,0.01
levo,2,0.01
cifra,2,0.01
setAllLeadingDigits,2,0.01
checaDigitos,2,0.01
keepDigits,2,0.01
DO3,2,0.01
is_num_tidy,2,0.01
compute_next_tidy_number,2,0.01
pow_long,2,0.01
findindex,2,0.01
modify_list,2,0.01
DO4,2,0.01
DO2,2,0.01
get_flips,2,0.01
cake,2,0.01
slice_cake,2,0.01
fill_cake,2,0.01
initialize_data,2,0.01
show_cake,2,0.01
extend_letter,2,0.01
get_last_tidy,2,0.01
swa_pancakes,2,0.01
flip_next,2,0.01
scanline,2,0.01
is_flipped,2,0.01
last_tidy,2,0.01
lasttidy,2,0.01
moves,2,0.01
solve_forward,2,0.01
minus1,2,0.01
fixpancake,2,0.01
dothedo,2,0.01
printelem,2,0.01
reversePancakes,2,0.01
findlength,2,0.01
magic,2,0.01
flipper,2,0.01
verifyTidy,2,0.01
extractDigits,2,0.01
getHTidyNum,2,0.01
rightFlip,2,0.01
fillNinesRight,2,0.01
needDecrease,2,0.01
veriftidy,2,0.01
ready,2,0.01
free_inputs,2,0.01
getloc,2,0.01
subtractOne,2,0.01
reverse_array,2,0.01
makeReset,2,0.01
is_complementary,2,0.01
array_copy,2,0.01
more_than_k_end_blank,2,0.01
first_blank,2,0.01
array_cmp,2,0.01
array_print,2,0.01
makeDecrease,2,0.01
leading,2,0.01
is_power_of_10,2,0.01
maxIndex,2,0.01
startLeftFrom,2,0.01
startRightFrom,2,0.01
countBlankSide,2,0.01
needFlips,2,0.01
getCakesNum,2,0.01
readCakes,2,0.01
areNonDecreasing,2,0.01
NumOfDigits,2,0.01
isnt_tidy,2,0.01
fewest_flips,2,0.01
ImprimeN,2,0.01
DisParse,2,0.01
Parse,2,0.01
GetTidyNumber,2,0.01
string_to_binary,2,0.01
shift_left,2,0.01
flipAll,2,0.01
all_smile,2,0.01
show_cakes,2,0.01
flip_from,2,0.01
output_answer,2,0.01
isnegative,2,0.01
free_array,2,0.01
calculate_best_ordenation,2,0.01
pow_uintmax_t,2,0.01
print_c,2,0.01
timespec_difference,2,0.01
timespec_gettime,2,0.01
verbose,2,0.01
die,2,0.01
getWithoutEndLine,2,0.01
getMaxChanges,2,0.01
sflip,2,0.01
gira,2,0.01
string_print,2,0.01
bit_init,2,0.01
is_sorted,2,0.01
split_number,2,0.01
bit_get,2,0.01
bit_flip,2,0.01
bit_sum,2,0.01
bit_add,2,0.01
findMI,2,0.01
posible,2,0.01
getNFlips,2,0.01
reversecake,2,0.01
decrease_key,2,0.01
increase_key,2,0.01
extract_max,2,0.01
build_max_heap,2,0.01
unsigned_char_max,2,0.01
unsigned_short_int_max,2,0.01
unsigned_int_max,2,0.01
waits,2,0.01
matrix_mul,2,0.01
do_opera,2,0.01
symbolPow,2,0.01
symbolCal,2,0.01
mSwap,2,0.01
opt,2,0.01
eats,2,0.01
producto,2,0.01
Magic,2,0.01
Calcanswer,2,0.01
execute_currentCase,2,0.01
giveIntlenght,2,0.01
resolveCase,2,0.01
CharToInt,2,0.01
getNumFriends,2,0.01
maxelement,2,0.01
digit_to_int,2,0.01
ominous,2,0.01
get_large_enough,2,0.01
signum,2,0.01
"rintf(""",2,0.01
"pout,""Case",2,0.01
large,2,0.01
minof,2,0.01
minno,2,0.01
splitatsize,2,0.01
ctsteps,2,0.01
steps,2,0.01
is_playable,2,0.01
ovation2,2,0.01
hasIJK,2,0.01
expand,2,0.01
handler,2,0.01
InitHost,2,0.01
share_plates,2,0.01
uat,2,0.01
exval,2,0.01
rettype,2,0.01
isneg,2,0.01
checkAudit,2,0.01
invitations,2,0.01
findHowMany,2,0.01
char2qual,2,0.01
my_atoi,2,0.01
Qinv,2,0.01
DataCompare,2,0.01
findDp,2,0.01
lhs,2,0.01
CountNeededMembers,2,0.01
CanGabrielWin,2,0.01
findmul,2,0.01
Tilling,2,0.01
AddNewHost,2,0.01
print_letter,2,0.01
getIntTable,2,0.01
c2d,2,0.01
readchar,2,0.01
numtoinvite,2,0.01
invites_required,2,0.01
process_str,2,0.01
game_logic,2,0.01
XMod,2,0.01
shyresult,2,0.01
clap,2,0.01
lose,2,0.01
invitees,2,0.01
sum_before,2,0.01
Transform,2,0.01
valid_for_nine,2,0.01
get_minutes,2,0.01
whoWins,2,0.01
eat2,2,0.01
ptcmp,2,0.01
seech,2,0.01
function2,2,0.01
function1,2,0.01
sumdown,2,0.01
minmush,2,0.01
eat1,2,0.01
finishcount,2,0.01
get_ans2,2,0.01
get_ans1,2,0.01
process1,2,0.01
get_count,2,0.01
to_cut,2,0.01
solve_b,2,0.01
computeang,2,0.01
computFirst,2,0.01
result2,2,0.01
countBaseK,2,0.01
once_typable,2,0.01
calc_bananas,2,0.01
slv,2,0.01
strreverse,2,0.01
fromString,2,0.01
toString,2,0.01
cmpN,2,0.01
computSecond,2,0.01
isRepeated,2,0.01
check_no,2,0.01
check_yes,2,0.01
gbanana,2,0.01
getSoln,2,0.01
countOccurrences,2,0.01
solve_a,2,0.01
result1,2,0.01
get_extra_audience,2,0.01
get_nb_friends,2,0.01
neg,2,0.01
printQ,2,0.01
inviteNum,2,0.01
get_need_friends,2,0.01
bin_search,2,0.01
parse_file,2,0.01
passmin,2,0.01
NbPeopleLackSk,2,0.01
minimum_friends,2,0.01
is_connected,2,0.01
board_index,2,0.01
solveShy,2,0.01
nbPlus,2,0.01
tempsRepas2,2,0.01
NbFriends,2,0.01
NextSi,2,0.01
solve_the_case,2,0.01
getppl,2,0.01
r_win,2,0.01
g_win,2,0.01
countGuests,2,0.01
isSplittable,2,0.01
insert2,2,0.01
read2,2,0.01
fillable,2,0.01
SumElmtBeforeK,2,0.01
chartoint,2,0.01
get_longlong,2,0.01
get_f,2,0.01
candivide,2,0.01
do_stuff,2,0.01
nfriends,2,0.01
shynessLevel,2,0.01
getSchyness,2,0.01
unsigned_long_int_max,2,0.01
printGreenRed,2,0.01
llcmp,2,0.01
proba,2,0.01
short_sort,2,0.01
chrono_sort,2,0.01
printFirst,2,0.01
printVioletYellow,2,0.01
printOrangeBlue,2,0.01
w,2,0.01
getMaxTime,2,0.01
openFiles,2,0.01
getFloat,2,0.01
findMax2,2,0.01
slowest,2,0.01
sort_nags,2,0.01
rhsort,2,0.01
s,2,0.01
tiskni,2,0.01
ReadNumber,2,0.01
bcktr,2,0.01
isout,2,0.01
ch2dir,2,0.01
get_dir,2,0.01
CheckAns,2,0.01
c2map,2,0.01
tryLeft,2,0.01
compar2,2,0.01
tryDown,2,0.01
tryRight,2,0.01
tryUp,2,0.01
mer,2,0.01
cmppan,2,0.01
compar3,2,0.01
minT,2,0.01
sinOfWrath,2,0.01
lenSteps,2,0.01
uint_fast32_t_max,2,0.01
long_long_int_min,2,0.01
long_int_min,2,0.01
int_min,2,0.01
short_int_min,2,0.01
char_min,2,0.01
uint_fast64_t_max,2,0.01
uint_fast16_t_max,2,0.01
unsigned_short_int_min,2,0.01
uint_fast8_t_max,2,0.01
int_fast64_t_max,2,0.01
int_fast32_t_max,2,0.01
int_fast16_t_max,2,0.01
int_fast8_t_max,2,0.01
unsigned_long_long_int_max,2,0.01
unsigned_char_min,2,0.01
unsigned_int_min,2,0.01
minF,2,0.01
uint_fast32_t_min,2,0.01
run_test_cases,2,0.01
get_two_nums,2,0.01
Unicorns,2,0.01
MaxSpeed,2,0.01
addC,2,0.01
uint_fast64_t_min,2,0.01
uint_fast16_t_min,2,0.01
